Product,Category,Price,Quantity,Revenue,Date
Laptop Pro X1,Electronics,1299.99,15,19499.85,2024-01-15
Wireless Mouse,Electronics,29.99,85,2549.15,2024-01-16
Office Chair,Furniture,249.99,22,5499.78,2024-01-17
Standing Desk,Furniture,599.99,8,4799.92,2024-01-18
USB-C Hub,Electronics,49.99,120,5998.80,2024-01-19
Monitor 27",Electronics,399.99,30,11999.70,2024-01-20
Desk Lamp,Furniture,79.99,45,3599.55,2024-01-21
Keyboard Mechanical,Electronics,149.99,60,8999.40,2024-01-22
Webcam HD,Electronics,89.99,75,6749.25,2024-01-23
Ergonomic Mouse Pad,Accessories,19.99,150,2998.50,2024-01-24
Cable Organizer,Accessories,12.99,200,2598.00,2024-01-25
Laptop Stand,Accessories,39.99,90,3599.10,2024-01-26